Id_vente;id_bien;Date_mutation;Nature_mutation;Valeur fonciere;Surface Carrez ;Nombre pieces
110;107;2020-03-31;Vente;114500;64,44;3
111;108;2020-03-11;Vente;181970;88,83;4
112;109;2020-03-19;Vente;70000;35,3;3
113;110;2020-04-01;Vente;45000;45,5;2
114;111;2020-04-07;Vente;375000;73,77;4
115;112;2020-03-18;Vente;247000;67,94;3
116;113;2020-03-16;Vente;16300;22,2;1
117;114;2020-03-16;Vente;60000;48,38;2
118;115;2020-03-31;Vente;164000;56,65;2
119;116;2020-03-17;Vente;93585;32,27;2
120;117;2020-04-03;Vente;210000;61,54;4
121;118;2020-03-14;Vente;120000;82,37;4
122;119;2020-04-10;Vente;50000;53,81;3
123;120;2020-04-03;Vente;174850;71,8;3
124;31;2020-04-22;Vente;223905;63,54;3
125;121;2020-04-15;Vente;540000;101,52;6
126;122;2020-04-15;Vente;230000;51,7;2
127;123;2020-04-08;Vente;445000;114,17;4
128;124;2020-04-27;Vente;44000;21,48;2
129;125;2020-04-09;Vente;145900;36,21;1
130;126;2020-04-22;Vente;57000;44,24;2
131;127;2020-04-21;Vente;138000;54,7;2
132;128;2020-04-09;Vente;190000;51;2
133;129;2020-03-16;Vente;182000;42,92;2
134;112;2020-03-26;Vente;271000;68,08;3
135;130;2020-04-28;Vente;114400;70,15;3
136;131;2020-04-29;Vente;98000;57,23;2
137;132;2020-04-17;Vente;505000;132,16;5
138;133;2020-04-24;Vente;289150;58,62;2
139;134;2020-04-29;Vente;104000;61,89;3
140;135;2020-04-30;Vente;245000;92,45;3
141;136;2020-05-06;Vente;115000;71,29;3
142;137;2020-05-07;Vente;483800;138,05;5
143;138;2020-05-07;Vente;185000;45,12;1
144;139;2020-05-07;Vente;188000;70,45;3
145;140;2020-05-13;Vente;185000;78,54;4
146;141;2020-05-05;Vente;162000;52,58;2
147;142;2020-04-17;Vente;76000;30,98;2
148;143;2020-04-29;Vente;367000;95,66;5
149;144;2020-05-19;Vente;324050;87,23;4
150;145;2020-05-20;Vente;170000;92,47;5
151;146;2020-05-15;Vente;79370;89,2;5
152;147;2020-05-15;Vente;69800;28,8;1
153;148;2020-05-18;Vente;54120;46,68;2
154;149;2020-05-19;Vente;116500;2,36;0
155;150;2020-05-12;Vente;136000;68,92;3
156;151;2020-05-12;Vente;234810;68,45;3
157;152;2020-05-15;Vente;410000;102,52;4
158;106;2020-05-14;Vente;205000;59,67;2
159;153;2020-05-06;Vente;294000;77,86;4
160;154;2020-05-11;Vente;620000;105,12;4
161;155;2020-05-12;Vente;230000;63,27;3
162;156;2020-05-15;Vente;469820;133,24;4
163;157;2020-05-29;Vente;371550;67,33;3
164;158;2020-05-12;Vente;315000;68,69;3
165;159;2020-05-20;Vente;82500;58,3;2
166;50;2020-05-12;Vente;439785;111,06;5
167;160;2020-05-18;Vente;65000;117,63;5
168;161;2020-05-15;Vente;469000;85,12;4
169;162;2020-05-18;Vente;161000;42,01;2
170;163;2020-05-19;Vente;513350;96,46;5
171;164;2020-06-02;Vente;83000;57,5;3
172;165;2020-06-02;Vente;471810;90,4;4
173;18;2020-06-11;Vente;220470;42,59;2
174;166;2020-06-04;Vente;243000;50,11;1
175;167;2020-06-04;Vente;100000;32,6;2
176;168;2020-05-29;Vente;193700;103,62;4
177;169;2020-06-04;Vente;100000;135,89;2
178;57;2020-06-17;Vente;595600;166,98;5
179;170;2020-06-26;Vente;225000;58,13;2
180;171;2020-01-14;Vente;106000;38,67;2
181;172;2020-01-10;Vente;203400;120,5;5
182;173;2020-01-07;Vente;212150;86,8;3
183;174;2020-01-03;Vente;102000;41,82;1
184;175;2020-01-16;Vente;150200;56,63;2
185;176;2020-01-13;Vente;129400;79,06;3
186;177;2020-04-06;Vente;130000;65,82;3
187;178;2020-05-15;Vente;84800;38,43;3
188;179;2020-05-20;Vente;282600;85,95;4
189;180;2020-05-22;Vente;145100;48,42;2
190;181;2020-01-16;Vente;87000;80,87;4
191;182;2020-01-03;Vente;142000;165,11;6
192;183;2020-01-15;Vente;66000;71,5;4
193;184;2020-01-22;Vente;71500;82,54;3
194;185;2020-01-10;Vente;68100;39,97;2
195;186;2020-01-24;Vente;58900;146,68;4
196;187;2020-02-17;Vente;37900;31,6;2
197;188;2020-02-14;Vente;70000;92;4
198;189;2020-02-21;Vente;112900;73,5;3
199;190;2020-02-21;Vente;39500;23,82;1
200;187;2020-02-24;Vente;39900;37,3;2
201;187;2020-02-19;Vente;78100;49,1;2
202;191;2020-02-06;Vente;37015;30,94;1
203;192;2020-03-12;Vente;93000;65,66;3
204;193;2020-04-09;Vente;35000;27,19;1
205;194;2020-04-06;Vente;42500;46,92;2
206;195;2020-04-09;Vente;88000;78,3;4
207;183;2020-05-06;Vente;80900;88,5;5
208;196;2020-05-04;Vente;34000;24,05;1
209;197;2020-05-18;Vente;84000;92,54;4
210;198;2020-05-11;Vente;90000;60,05;3
211;183;2020-05-26;Vente;81500;89;5
212;199;2020-05-26;Vente;27000;23,86;1
213;200;2020-05-26;Vente;20000;25;3
214;201;2020-05-29;Vente;137000;148,41;5
215;195;2020-05-30;Vente;44500;47,44;2
216;195;2020-06-05;Vente;75000;80,14;4
217;195;2020-05-22;Vente;44000;53,42;3
218;202;2020-06-25;Vente;32500;66,36;3
219;203;2020-06-23;Vente;35500;28,13;1
220;204;2020-06-24;Vente;365000;88,14;4
221;205;2020-06-24;Vente;55000;77,91;3
222;199;2020-06-30;Vente;29500;26,4;1
223;206;2020-01-15;Vente;370000;119,4;4
224;207;2020-02-07;Vente;41000;33,49;1
225;208;2020-03-06;Vente;107000;96,4;4
226;209;2020-06-19;Vente;68700;53,22;2
227;210;2020-01-10;Vente;290000;142,98;5
228;211;2020-02-04;Vente;57000;50,16;2
229;212;2020-01-31;Vente;274000;108,49;4
230;213;2020-02-06;Vente;39000;29,16;1
231;214;2020-02-18;Vente;102345;79,27;4
232;215;2020-02-07;Vente;63500;64,21;4
233;216;2020-02-04;Vente;181000;121,9;5
234;217;2020-02-13;Vente;125000;145,28;4
235;218;2020-02-13;Vente;59000;49,99;3
236;219;2020-02-17;Vente;63000;58,67;2
237;220;2020-02-05;Vente;90000;55,74;3
238;221;2020-01-31;Vente;110000;77,56;5
239;222;2020-02-12;Vente;81000;49,33;2
240;223;2020-02-19;Vente;67000;47,02;3
241;224;2020-02-18;Vente;30000;37,18;2
242;225;2020-02-03;Vente;79180;106;6
243;226;2020-03-03;Vente;55000;39,62;3
244;227;2020-02-14;Vente;97000;81,62;4
245;228;2020-03-10;Vente;44000;41,42;1
246;229;2020-03-10;Vente;82500;62,15;3
247;230;2020-03-02;Vente;230000;59,81;4
248;231;2020-02-27;Vente;13000;20,45;1
249;232;2020-04-20;Vente;103090;89,56;3
250;233;2020-04-23;Vente;95000;570;6
251;234;2020-05-15;Vente;36000;21,4;1
252;235;2020-03-10;Vente;100789;49,46;2
253;235;2020-03-02;Vente;76280;45,12;2
254;236;2020-05-06;Vente;65000;68,95;3
255;237;2020-05-29;Vente;151000;76,95;3
256;238;2020-05-14;Vente;134000;72,93;2
257;239;2020-05-25;Vente;56500;65,9;3
258;240;2020-06-05;Vente;47500;31,84;2
259;234;2020-06-04;Vente;44000;20,69;1
260;241;2020-05-16;Vente;41500;29,36;1
261;242;2020-05-27;Vente;95000;67,85;3
262;243;2020-05-28;Vente;87000;51,07;3
263;244;2020-06-10;Vente;53000;29,21;1
264;241;2020-06-30;Vente;36000;23,7;1
265;228;2020-06-05;Vente;70000;73,94;3
266;245;2020-06-18;Vente;169000;93,89;6
267;235;2020-06-09;Vente;148586;68,37;3
268;235;2020-06-10;Vente;140000;73,65;3
269;246;2020-06-25;Vente;45375;31,62;1
270;247;2020-01-24;Vente;55000;60,2;3
271;248;2020-02-07;Vente;290000;48,5;3
272;249;2020-03-11;Vente;110500;57,74;3
273;250;2020-06-10;Vente;67000;78,24;4
274;251;2020-06-08;Vente;43000;64,24;3
275;252;2020-01-21;Vente;111324;34,46;2
276;253;2020-01-03;Vente;164000;124,01;3
277;252;2020-01-07;Vente;131990;34,9;1
278;252;2020-01-15;Vente;74169;22,19;1
279;254;2020-01-16;Vente;106000;83,87;4
280;255;2020-03-16;Vente;135000;107,77;5
281;256;2020-02-28;Vente;59500;61,4;4
282;257;2020-03-17;Vente;108254;128,8;5
283;258;2020-05-06;Vente;45500;58,46;3
284;259;2020-05-19;Vente;55000;40,06;2
285;260;2020-06-18;Vente;41000;78,3;4
286;261;2020-05-16;Vente;172200;106;5
287;262;2020-05-25;Vente;100000;74,54;3
288;263;2020-05-15;Vente;96000;81,72;3
289;264;2020-05-25;Vente;153500;67,64;4
290;265;2020-05-20;Vente;35723;42,98;2
291;266;2020-06-09;Vente;26500;40,57;2
292;267;2020-01-04;Vente;84000;105,71;4
293;268;2020-01-03;Vente;71000;106,43;4
294;269;2020-01-10;Vente;38550;29,74;1
295;270;2020-01-21;Vente;118500;65,4;3
296;271;2020-01-06;Vente;196000;144,6;4
297;272;2020-01-11;Vente;48000;24,74;1
298;273;2020-01-03;Vente;43000;32,89;1
299;274;2020-01-21;Vente;29800;20,92;1
300;275;2020-01-20;Vente;175000;93,76;4
301;276;2020-01-22;Vente;34000;20,73;1
302;277;2020-01-17;Vente;40000;26,6;2
303;278;2020-01-15;Vente;42000;40;3
304;279;2020-01-21;Vente;39735;27,46;1
305;280;2020-01-29;Vente;105000;51,42;2
306;281;2020-01-14;Vente;128690;71,39;3
307;282;2020-01-23;Vente;113330;41,16;2
308;283;2020-01-16;Vente;300000;65,5;2
309;284;2020-01-20;Vente;77000;34,95;2
310;285;2020-01-29;Vente;75000;60,66;3
311;286;2020-01-03;Vente;33880;24,32;1
312;287;2020-01-20;Vente;42800;23,02;1
313;288;2020-02-07;Vente;64000;59,73;2
314;289;2020-01-31;Vente;105375;33,05;2
315;290;2020-01-30;Vente;40000;23,25;1
316;291;2020-02-04;Vente;61000;30,47;2
317;292;2020-02-10;Vente;44585;28,33;1
318;293;2020-01-24;Vente;67830;35,97;1
319;294;2020-01-23;Vente;71000;20,85;2
320;295;2020-02-07;Vente;43000;20,55;1
321;296;2020-02-05;Vente;75000;142,9;5
322;297;2020-01-31;Vente;113000;18,44;1
323;298;2020-02-13;Vente;52800;26,76;1
324;299;2020-02-14;Vente;57000;53,1;2
325;300;2020-02-14;Vente;37000;35,2;2
326;297;2020-01-27;Vente;51000;18,84;1
327;301;2020-02-04;Vente;115000;80,26;3
328;302;2020-01-31;Vente;160500;76,81;4
329;303;2020-02-07;Vente;62500;79,54;3
330;304;2020-02-14;Vente;52500;72,07;2
331;305;2020-01-30;Vente;66450;29,66;2
332;306;2020-01-31;Vente;47000;29,03;2
333;307;2020-02-12;Vente;150500;82,37;5
334;308;2020-02-12;Vente;201500;33,8;2
335;309;2020-01-27;Vente;24000;19,72;1
336;310;2020-02-21;Vente;270200;15;4
337;311;2020-01-29;Vente;128015;58,96;3
338;312;2020-02-13;Vente;90000;42,73;2
339;313;2020-02-25;Vente;68730;25,32;1
340;314;2020-02-17;Vente;19000;14,41;1
341;315;2020-02-22;Vente;44000;38,97;2
342;316;2020-02-04;Vente;37000;44,44;3
343;317;2020-02-08;Vente;67500;27,26;1
344;318;2020-02-13;Vente;76600;83,88;5
345;319;2020-02-06;Vente;52300;25,55;2
346;320;2020-02-19;Vente;40000;40,4;1
347;321;2020-02-11;Vente;80000;136,86;2
348;322;2020-02-12;Vente;62000;90,75;4
349;323;2020-02-21;Vente;146200;59,36;2
350;324;2020-02-14;Vente;61500;26,99;1
351;325;2020-02-07;Vente;88000;67,22;3
352;326;2020-02-26;Vente;77000;39,16;2
353;313;2020-02-29;Vente;63500;25,07;1
354;327;2020-02-25;Vente;58000;63,73;3
355;328;2020-02-26;Vente;230000;102,87;4
356;329;2020-02-24;Vente;135700;82,11;4
357;330;2020-02-27;Vente;76000;23,35;1
358;331;2020-02-14;Vente;61400;30,05;1
359;332;2020-02-27;Vente;44000;49,2;2
360;333;2020-02-17;Vente;69300;24,25;1
361;334;2020-02-14;Vente;41500;37,55;2
362;335;2020-02-21;Vente;230000;108,85;2
363;336;2020-02-21;Vente;220000;73,99;3
364;337;2020-02-26;Vente;67560;28,02;1
365;338;2020-02-22;Vente;39980;22,91;1
366;339;2020-02-19;Vente;61700;27,36;1
367;340;2020-02-20;Vente;70020;27,22;1
368;341;2020-03-03;Vente;226750;92,94;4
369;342;2020-03-03;Vente;81860;30,95;1
370;343;2020-03-03;Vente;69450;62,43;2
371;325;2020-03-02;Vente;33000;35,71;1
372;344;2020-02-21;Vente;83000;61,53;2
373;345;2020-02-15;Vente;62700;27,18;1
374;346;2020-02-25;Vente;44000;18;1
375;347;2020-02-15;Vente;43000;24,87;1
376;348;2020-03-09;Vente;101000;62,85;3
377;349;2020-02-28;Vente;77000;56,52;3
378;350;2020-03-06;Vente;70200;52,45;4
379;351;2020-03-06;Vente;43000;67;4
380;352;2020-03-31;Vente;47200;28,48;1
381;351;2020-03-14;Vente;65000;54,33;3
382;353;2020-04-21;Vente;70000;35,65;2
383;354;2020-03-18;Vente;46890;21,35;1
384;355;2020-02-26;Vente;54090;32,84;1
385;356;2020-04-30;Vente;43500;19,28;1
386;357;2020-04-30;Vente;77400;55,5;2
387;358;2020-05-05;Vente;128490;73,48;4
388;359;2020-04-30;Vente;130000;75,06;3
389;360;2020-05-04;Vente;87000;83,46;4
390;361;2020-04-24;Vente;155000;89,06;4
391;362;2020-04-29;Vente;19400;25,08;2
392;363;2020-05-07;Vente;51400;26,41;1
393;364;2020-05-12;Vente;35000;54,79;4
394;365;2020-04-15;Vente;110000;42,72;2
395;366;2020-05-18;Vente;64500;45,2;2
396;367;2020-05-15;Vente;86000;44,24;2
397;368;2020-05-15;Vente;45000;41,7;1
398;369;2020-05-19;Vente;87000;46,21;2
399;370;2020-05-12;Vente;111300;64,99;3
400;371;2020-05-13;Vente;230000;97,07;4
401;339;2020-05-20;Vente;67500;27,5;1
402;372;2020-05-27;Vente;105000;54,64;3
403;373;2020-05-13;Vente;28500;44,2;2
404;374;2020-05-28;Vente;27000;16,61;1
405;375;2020-05-26;Vente;113000;46,42;2
406;376;2020-04-30;Vente;48700;25,44;2
407;377;2020-05-13;Vente;29900;17,31;1
408;378;2020-05-07;Vente;29500;22,9;1
409;379;2020-05-27;Vente;46937;46,93;2
410;380;2020-05-29;Vente;55500;38,9;2
411;381;2020-05-14;Vente;142500;152,65;5
412;382;2020-05-16;Vente;35000;36,42;1
413;383;2020-06-03;Vente;32500;25,95;1
414;384;2020-05-26;Vente;64050;53,81;2
415;385;2020-05-29;Vente;60000;30;1
416;386;2020-05-29;Vente;45710;24,89;2
417;386;2020-05-29;Vente;55500;45,22;3
418;386;2020-05-30;Vente;35500;22,92;1
419;387;2020-06-06;Vente;20140;11,43;1
420;388;2020-05-26;Vente;25650;16,81;1
421;389;2020-05-18;Vente;126000;68,19;4
422;390;2020-05-20;Vente;61000;59,5;3
423;377;2020-06-11;Vente;54000;28,4;2
424;391;2020-06-03;Vente;30500;18,26;1
425;392;2020-05-28;Vente;80000;28,9;3
426;393;2020-05-20;Vente;28350;25,9;1
427;394;2020-06-06;Vente;78500;30;1
428;395;2020-01-25;Vente;57950;29,85;1
429;396;2020-06-16;Vente;55000;21,71;2
430;397;2020-05-29;Vente;63000;69,7;4
431;398;2020-06-03;Vente;62000;60,28;3
432;399;2020-06-10;Vente;134300;75,3;3
433;400;2020-06-20;Vente;56000;26,09;1
434;401;2020-06-12;Vente;130000;64,96;2
435;306;2020-05-28;Vente;41000;17,6;1
436;402;2020-06-11;Vente;272000;119,9;4
437;403;2020-06-15;Vente;117000;36,24;2
438;328;2020-06-15;Vente;75000;25,35;1
439;404;2020-06-03;Vente;206000;99,22;4
440;405;2020-06-13;Vente;83000;28;1
441;406;2020-06-26;Vente;35000;27,45;1
442;407;2020-06-18;Vente;300000;245,13;8
443;408;2020-06-06;Vente;33000;56,04;2
444;409;2020-06-26;Vente;57500;50,05;2
445;410;2020-06-05;Vente;63000;20,5;1
446;411;2020-06-26;Vente;25000;25,4;4
447;412;2020-06-10;Vente;225500;130,2;5
448;413;2020-06-29;Vente;55800;17,14;1
449;414;2020-06-23;Vente;135000;56,19;3
450;415;2020-06-11;Vente;95000;50,04;2
451;414;2020-06-17;Vente;64000;37,71;1
452;416;2020-06-30;Vente;135000;119,4;5
453;417;2020-06-30;Vente;90000;67,58;4
454;418;2020-01-29;Vente;75000;46,78;2
455;419;2020-01-20;Vente;41500;19,15;1
456;420;2020-01-16;Vente;41080;23,69;1
457;421;2020-02-12;Vente;;17,34;1
458;422;2020-01-16;Vente;310000;56,2;4
459;423;2020-02-07;Vente;159550;59,6;4
460;424;2020-01-22;Vente;150000;44,71;2
461;425;2020-02-18;Vente;165500;62,38;3
462;426;2020-02-21;Vente;67200;49,61;3
463;427;2020-02-12;Vente;230000;55,76;1
464;428;2020-02-05;Vente;220000;80,48;4
465;429;2020-02-07;Vente;53320;26,52;1
466;418;2020-02-10;Vente;49000;29,33;1
467;430;2020-02-24;Vente;110000;45,08;2
468;431;2020-02-27;Vente;238000;72,72;6
469;432;2020-02-24;Vente;55000;35,18;2
470;433;2020-02-22;Vente;53260;25,61;2
471;434;2020-02-25;Vente;120250;32;2
472;435;2020-02-18;Vente;119390;69,45;3
473;436;2020-02-20;Vente;117110;78,84;4
474;437;2020-02-21;Vente;85000;37,09;2
475;438;2020-02-28;Vente;140150;65,39;3
476;439;2020-03-16;Vente;113000;47,48;2
477;440;2020-03-26;Vente;26630;26,1;1
478;441;2020-04-02;Vente;64000;40,92;1
479;442;2020-03-02;Vente;56900;26;1
480;443;2020-04-22;Vente;114275;67;4
481;444;2020-04-03;Vente;123000;56,5;3
482;445;2020-04-16;Vente;98000;38,5;2
483;446;2020-03-27;Vente;43000;42,7;2
484;447;2020-03-04;Vente;30250;16,7;1
485;448;2020-04-27;Vente;50740;0,4;1
486;449;2020-04-30;Vente;146192;59,66;3
487;450;2020-04-27;Vente;40000;21,2;1
488;451;2020-05-06;Vente;80000;43,36;2
489;452;2020-04-30;Vente;65000;56,81;3
490;453;2020-04-22;Vente;112000;43,33;3
491;454;2020-05-14;Vente;85000;32,8;2
492;455;2020-05-13;Vente;47000;15,42;1
493;456;2020-05-14;Vente;67340;24,64;1
494;457;2020-05-29;Vente;65500;28,5;2
495;458;2020-05-28;Vente;125000;66,45;2
496;459;2020-05-26;Vente;153240;59,9;3
497;444;2020-05-30;Vente;75000;54,99;3
498;460;2020-05-29;Vente;23000;18,04;1
499;461;2020-05-28;Vente;107871;28,56;1
500;462;2020-06-04;Vente;33000;23,66;1
501;463;2020-05-30;Vente;187000;121,56;5
502;464;2020-05-11;Vente;51300;30,72;2
503;465;2020-05-28;Vente;45500;32,97;2
504;466;2020-05-29;Vente;59800;28,61;1
505;467;2020-06-08;Vente;75000;30,74;2
506;468;2020-05-16;Vente;32000;30,59;1
507;469;2020-05-18;Vente;36100;33,5;2
508;464;2020-05-15;Vente;50000;30,52;2
509;470;2020-05-18;Vente;81200;51,85;2
510;471;2020-05-29;Vente;148000;63,2;2
511;472;2020-05-22;Vente;46780;23,08;3
512;473;2020-06-10;Vente;233400;86,49;3
513;474;2020-05-15;Vente;165000;36,44;2
514;475;2020-06-05;Vente;55000;28,96;2
515;462;2020-06-06;Vente;34500;26,42;1
516;476;2020-06-03;Vente;125000;49,06;2
517;477;2020-06-09;Vente;144000;100,11;5
518;478;2020-06-19;Vente;179000;89,03;4
519;479;2020-06-05;Vente;181000;43,44;2
520;480;2020-06-08;Vente;278800;119,95;4
521;481;2020-06-05;Vente;220000;25,1;4
522;482;2020-06-05;Vente;136000;49,55;3
523;462;2020-06-23;Vente;30000;26,62;1
524;483;2020-06-08;Vente;85000;28,79;2
525;484;2020-05-29;Vente;39000;18,63;1
526;485;2020-06-23;Vente;19800;14;4
527;462;2020-06-26;Vente;21000;16,99;1
528;486;2020-06-15;Vente;202000;68,23;3
529;487;2020-06-12;Vente;44600;21,48;2
530;488;2020-06-15;Vente;39000;16,9;1
531;489;2020-06-05;Vente;212000;101,99;4
532;490;2020-06-06;Vente;152600;54,25;3
533;491;2020-06-06;Vente;66500;26,78;1
534;492;2020-06-06;Vente;69000;27,06;1
535;432;2020-06-29;Vente;76000;34,97;2
536;493;2020-06-15;Vente;51500;18,45;1
537;494;2020-06-26;Vente;141500;39,3;3
538;495;2020-06-15;Vente;153000;35,51;2
539;496;2020-06-24;Vente;85700;52,24;2
540;497;2020-06-23;Vente;19000;14,33;1
541;498;2020-06-15;Vente;190000;49,21;2
542;499;2020-06-22;Vente;202100;39,2;3
543;500;2020-06-30;Vente;64600;30,34;1
544;501;2020-06-29;Vente;90250;28,32;1
545;502;2020-01-03;Vente;616900;99,04;4
546;503;2020-01-03;Vente;212550;30,2;3
547;504;2020-01-02;Vente;229500;80,25;3
548;505;2020-01-13;Vente;191500;72,25;4
549;506;2020-01-13;Vente;140650;19,23;1
550;507;2020-01-10;Vente;228500;56,45;2
551;508;2020-01-15;Vente;112070;18,02;1
552;509;2020-01-06;Vente;212200;32,83;2
553;510;2020-01-14;Vente;195500;48,23;2
554;511;2020-01-10;Vente;158525;34,04;1
555;512;2020-01-16;Vente;171700;36,26;2
556;513;2020-01-08;Vente;340750;69;3
557;514;2020-01-09;Vente;179000;45,5;2
558;515;2020-01-09;Vente;121300;13,69;1
559;516;2020-01-03;Vente;317800;68,75;3
560;517;2020-01-10;Vente;262089;34,31;2
561;518;2020-01-09;Vente;314600;68,35;3
562;519;2020-01-17;Vente;767000;114,78;4
563;520;2020-01-17;Vente;116260;30,76;1
564;521;2020-01-10;Vente;414000;78,45;4
565;522;2020-01-14;Vente;413826;64,25;2
566;523;2020-01-20;Vente;327500;118,14;5
567;524;2020-01-06;Vente;643815;133,44;4
568;525;2020-01-14;Vente;652000;96;4
569;526;2020-01-20;Vente;113700;28,32;1
570;527;2020-01-17;Vente;1320000;93,6;3
571;528;2020-01-17;Vente;483314;79,48;2
572;529;2020-02-03;Vente;178140;19,88;1
573;530;2020-01-20;Vente;118110;43,48;1
574;531;2020-01-28;Vente;622850;90,1;3
575;532;2020-01-24;Vente;137009;19,11;1
576;533;2020-01-24;Vente;114500;24,92;2
577;534;2020-01-31;Vente;50925;16,54;1
578;535;2020-01-24;Vente;1852500;172,21;5
579;536;2020-01-24;Vente;233470;36,11;1
580;537;2020-02-07;Vente;151500;46,34;3
581;538;2020-01-21;Vente;117800;17,05;1
